Plant,Disease,Treatment_1,Treatment_2
Strawberry,Rust,"Prune infected areas   “ This method is used to combat Rust in Strawberry. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Remove infected plants   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Tomato,Blight,"Remove infected plants   “ This method is used to combat Blight in Tomato. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Improve drainage   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Corn,Rust,"Prune infected areas   “ This method is used to combat Rust in Corn. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Thiophanate-methyl (broad-spectrum systemic fungicide)   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Peach,Healthy,"Fenhexamid (specific fungicide for Botrytis and other rots)   “ This method is used to combat Healthy in Peach. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Improve drainage   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Apple,Leaf Spot,"Resistant varieties   “ This method is used to combat Leaf Spot in Apple. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Prune infected areas   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Peach,Leaf Spot,"Improve drainage   “ This method is used to combat Leaf Spot in Peach. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Ensure balanced soil nutrients and proper irrigation   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Apple,Leaf Spot,"Conduct regular inspections and apply organic fertilizers   “ This method is used to combat Leaf Spot in Apple. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Resistant varieties   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Grape,Leaf Spot,"Resistant varieties   “ This method is used to combat Leaf Spot in Grape. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Resistant varieties   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Corn,Rust,"Improve drainage   “ This method is used to combat Rust in Corn. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Implement pest control and proper crop rotation   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Peach,Blight,"Fenhexamid (specific fungicide for Botrytis and other rots)   “ This method is used to combat Blight in Peach. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Improve drainage   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Strawberry,Rust,"Conduct regular inspections and apply organic fertilizers   “ This method is used to combat Rust in Strawberry. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Improve drainage   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Corn,Healthy,"Prune infected areas   “ This method is used to combat Healthy in Corn. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Resistant varieties   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Strawberry,Blight,"Improve drainage   “ This method is used to combat Blight in Strawberry. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Improve drainage   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Cherry,Healthy,"Improve drainage   “ This method is used to combat Healthy in Cherry. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Resistant varieties   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Potato,Mildew,"Conduct regular inspections and apply organic fertilizers   “ This method is used to combat Mildew in Potato. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Resistant varieties   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Apple,Mildew,"Thiophanate-methyl (broad-spectrum systemic fungicide)   “ This method is used to combat Mildew in Apple. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Implement pest control and proper crop rotation   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Peach,Leaf Spot,"Thiophanate-methyl (broad-spectrum systemic fungicide)   “ This method is used to combat Leaf Spot in Peach. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Remove infected plants   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Tomato,Healthy,"Thiophanate-methyl (broad-spectrum systemic fungicide)   “ This method is used to combat Healthy in Tomato. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Remove infected plants   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Corn,Blight,"Fenhexamid (specific fungicide for Botrytis and other rots)   “ This method is used to combat Blight in Corn. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Resistant varieties   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Grape,Rust,"Prune infected areas   “ This method is used to combat Rust in Grape. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Fenhexamid (specific fungicide for Botrytis and other rots)   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Corn,Leaf Spot,"Fenhexamid (specific fungicide for Botrytis and other rots)   “ This method is used to combat Leaf Spot in Corn. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Improve drainage   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
Tomato,Healthy,"Ensure balanced soil nutrients and proper irrigation   “ This method is used to combat Healthy in Tomato. It works by either preventing infection, stopping disease progression, or improving plant health to resist the disease. Application timing and frequency depend on environmental factors and disease severity.","Remove infected plants   “ This is an additional or alternative strategy to reduce disease spread and improve recovery. It may involve physical removal of infected parts, altering environmental conditions, or adopting preventive agricultural practices."
